Date,Open,High,Low,Close
6/16/2023,"1,536.36","1,536.25","1,536.25","1,536.25"
6/15/2023,"1,512.91","1,536.36","1,536.36","1,536.36"
6/14/2023,"1,530.05","1,512.91","1,512.91","1,512.91"
6/13/2023,"1,522.00","1,530.05","1,530.05","1,530.05"
6/12/2023,"1,515.05","1,522.00","1,522.00","1,522.00"
6/9/2023,"1,512.14","1,515.05","1,515.05","1,515.05"
6/8/2023,"1,502.41","1,512.14","1,512.14","1,512.14"
6/7/2023,"1,508.67","1,502.41","1,502.41","1,502.41"
6/6/2023,"1,522.04","1,508.67","1,508.67","1,508.67"
6/5/2023,"1,516.22","1,522.04","1,522.04","1,522.04"
6/2/2023,"1,496.25","1,516.22","1,516.22","1,516.22"
6/1/2023,"1,486.28","1,496.25","1,496.25","1,496.25"
5/31/2023,"1,473.78","1,486.28","1,486.28","1,486.28"
5/30/2023,"1,483.73","1,473.78","1,473.78","1,473.78"
5/26/2023,"1,486.30","1,483.73","1,483.73","1,483.73"
5/25/2023,"1,501.91","1,486.30","1,486.30","1,486.30"
5/24/2023,"1,511.87","1,501.91","1,501.91","1,501.91"
5/23/2023,"1,529.13","1,511.87","1,511.87","1,511.87"
5/22/2023,"1,528.47","1,529.13","1,529.13","1,529.13"
5/19/2023,"1,521.53","1,528.47","1,528.47","1,528.47"
5/18/2023,"1,525.24","1,521.53","1,521.53","1,521.53"
5/17/2023,"1,523.76","1,525.24","1,525.24","1,525.24"
5/16/2023,"1,536.30","1,523.76","1,523.76","1,523.76"
5/15/2023,"1,538.82","1,536.30","1,536.30","1,536.30"
5/12/2023,"1,541.67","1,538.82","1,538.82","1,538.82"
5/11/2023,"1,546.86","1,541.67","1,541.67","1,541.67"
5/10/2023,"1,542.68","1,546.86","1,546.86","1,546.86"
5/9/2023,"1,553.41","1,542.68","1,542.68","1,542.68"
5/8/2023,"1,556.81","1,553.41","1,553.41","1,553.41"
5/5/2023,"1,542.58","1,556.81","1,556.81","1,556.81"
5/4/2023,"1,555.15","1,542.58","1,542.58","1,542.58"
5/3/2023,"1,556.88","1,555.15","1,555.15","1,555.15"
5/2/2023,"1,564.51","1,556.88","1,556.88","1,556.88"
5/1/2023,"1,555.39","1,564.51","1,564.51","1,564.51"
4/28/2023,"1,542.80","1,555.39","1,555.39","1,555.39"
4/27/2023,"1,534.96","1,542.80","1,542.80","1,542.80"
4/26/2023,"1,556.86","1,534.96","1,534.96","1,534.96"
4/25/2023,"1,573.41","1,556.86","1,556.86","1,556.86"
4/24/2023,"1,564.68","1,573.41","1,573.41","1,573.41"
4/21/2023,"1,554.15","1,564.68","1,564.68","1,564.68"
4/20/2023,"1,560.92","1,554.15","1,554.15","1,554.15"
4/19/2023,"1,556.50","1,560.92","1,560.92","1,560.92"
4/18/2023,"1,566.76","1,556.50","1,556.50","1,556.50"
4/17/2023,"1,568.38","1,566.76","1,566.76","1,566.76"
4/14/2023,"1,580.81","1,568.38","1,568.38","1,568.38"
4/13/2023,"1,561.60","1,580.81","1,580.81","1,580.81"
4/12/2023,"1,561.36","1,561.60","1,561.60","1,561.60"
4/11/2023,"1,556.75","1,561.36","1,561.36","1,561.36"
4/10/2023,"1,557.33","1,556.75","1,556.75","1,556.75"
4/6/2023,"1,553.83","1,557.33","1,557.33","1,557.33"
4/5/2023,"1,527.40","1,553.83","1,553.83","1,553.83"
4/4/2023,"1,527.04","1,527.40","1,527.40","1,527.40"
4/3/2023,"1,510.73","1,527.04","1,527.04","1,527.04"
3/31/2023,"1,493.96","1,510.73","1,510.73","1,510.73"
3/30/2023,"1,485.81","1,493.96","1,493.96","1,493.96"
3/29/2023,"1,482.26","1,485.81","1,485.81","1,485.81"
3/28/2023,"1,490.71","1,482.26","1,482.26","1,482.26"
3/27/2023,"1,484.65","1,490.71","1,490.71","1,490.71"
3/24/2023,"1,465.45","1,484.65","1,484.65","1,484.65"
3/23/2023,"1,468.05","1,465.45","1,465.45","1,465.45"
3/22/2023,"1,490.34","1,468.05","1,468.05","1,468.05"
3/21/2023,"1,481.55","1,490.34","1,490.34","1,490.34"
3/20/2023,"1,462.81","1,481.55","1,481.55","1,481.55"
3/17/2023,"1,481.54","1,462.81","1,462.81","1,462.81"
3/16/2023,"1,467.49","1,481.54","1,481.54","1,481.54"
3/15/2023,"1,470.01","1,467.49","1,467.49","1,467.49"
3/14/2023,"1,457.14","1,470.02","1,470.02","1,470.01"
3/13/2023,"1,443.91","1,457.14","1,457.14","1,457.14"
3/10/2023,"1,454.63","1,443.91","1,443.91","1,443.91"
3/9/2023,"1,469.81","1,454.63","1,454.63","1,454.63"
3/8/2023,"1,478.10","1,469.81","1,469.81","1,469.81"
3/7/2023,"1,502.39","1,478.10","1,478.10","1,478.10"
3/6/2023,"1,503.32","1,502.39","1,502.39","1,502.39"
3/3/2023,"1,486.04","1,503.32","1,503.32","1,503.32"
3/2/2023,"1,477.49","1,486.04","1,486.04","1,486.04"
3/1/2023,"1,480.18","1,477.49","1,477.49","1,477.49"
2/28/2023,"1,491.02","1,480.18","1,480.18","1,480.18"
2/27/2023,"1,495.64","1,491.02","1,491.02","1,491.02"
2/24/2023,"1,514.86","1,495.64","1,495.64","1,495.64"
2/23/2023,"1,510.83","1,514.86","1,514.86","1,514.86"
2/22/2023,"1,515.77","1,510.83","1,510.83","1,510.83"
2/21/2023,"1,536.74","1,515.77","1,515.77","1,515.77"
2/17/2023,"1,523.11","1,536.74","1,536.74","1,536.74"
2/16/2023,"1,538.53","1,523.11","1,523.11","1,523.11"
2/15/2023,"1,546.02","1,538.77","1,538.77","1,538.77"
2/14/2023,"1,556.10","1,546.71","1,546.71","1,546.71"
2/13/2023,"1,543.29","1,556.10","1,556.10","1,556.10"
2/10/2023,"1,528.98","1,543.29","1,543.29","1,543.29"
2/9/2023,"1,542.24","1,528.98","1,528.98","1,528.98"
2/8/2023,"1,547.00","1,542.24","1,542.24","1,542.24"
2/7/2023,"1,537.10","1,547.00","1,547.00","1,547.00"
2/6/2023,"1,546.32","1,537.10","1,537.10","1,537.10"
2/3/2023,"1,550.33","1,546.32","1,546.32","1,546.32"
2/2/2023,"1,560.94","1,550.33","1,550.33","1,550.33"
2/1/2023,"1,553.43","1,560.94","1,560.94","1,560.94"
1/31/2023,"1,533.57","1,553.43","1,553.43","1,553.43"
1/30/2023,"1,547.92","1,533.57","1,533.57","1,533.57"
1/27/2023,"1,558.72","1,547.92","1,547.92","1,547.92"
1/26/2023,"1,556.28","1,558.72","1,558.72","1,558.72"
1/25/2023,"1,556.12","1,556.28","1,556.28","1,556.28"
1/24/2023,"1,566.24","1,556.12","1,556.12","1,556.12"
1/23/2023,"1,561.79","1,566.24","1,566.24","1,566.24"
1/20/2023,"1,552.99","1,561.79","1,561.79","1,561.79"
1/19/2023,"1,549.37","1,552.99","1,552.99","1,552.99"
1/18/2023,"1,571.65","1,549.37","1,549.37","1,549.37"
1/17/2023,"1,579.53","1,571.65","1,571.65","1,571.65"
1/13/2023,"1,572.10","1,579.53","1,579.53","1,579.53"
1/12/2023,"1,578.26","1,572.10","1,572.10","1,572.10"
1/11/2023,"1,569.24","1,578.26","1,578.26","1,578.26"
1/10/2023,"1,556.25","1,569.24","1,569.24","1,569.24"
1/9/2023,"1,582.51","1,556.25","1,556.25","1,556.25"
1/6/2023,"1,568.57","1,582.51","1,582.51","1,582.51"
1/5/2023,"1,584.91","1,568.57","1,568.57","1,568.57"
1/4/2023,"1,580.97","1,584.91","1,584.91","1,584.91"
1/3/2023,"1,585.54","1,580.97","1,580.97","1,580.97"
12/30/2022,"1,590.70","1,585.54","1,585.54","1,585.54"
12/29/2022,"1,574.23","1,590.70","1,590.70","1,590.70"
12/28/2022,"1,584.31","1,574.23","1,574.23","1,574.23"
12/27/2022,"1,588.53","1,584.31","1,584.31","1,584.31"
12/23/2022,"1,587.22","1,588.53","1,588.53","1,588.53"
12/22/2022,"1,589.51","1,587.22","1,587.22","1,587.22"
12/21/2022,"1,569.24","1,589.73","1,589.73","1,589.73"
12/20/2022,"1,570.16","1,569.24","1,569.24","1,569.24"
12/19/2022,"1,575.84","1,570.16","1,570.16","1,570.16"
12/16/2022,"1,598.35","1,575.84","1,575.84","1,575.84"
12/15/2022,"1,628.65","1,598.35","1,598.35","1,598.35"
12/14/2022,"1,626.30","1,628.65","1,628.65","1,628.65"
12/13/2022,"1,621.85","1,626.30","1,626.30","1,626.30"
